year,type,country,lat,lon,deaths,search_key
1992,Earthquake,Egypt,29.888 N,31.223 E,552,egypt earthquake
1993,Earthquake,China,23.027 N,101.062 E,0,china earthquake
1993,Earthquake,Colombia,6.47,-71.210,2,colombia earthquake
1993,Volcanic activity,Colombia,1.2 N,77.4 W,10,colombia volcanic activity
1993,Earthquake,Costa Rica,9.59 N,84.04 W,3,costa rica earthquake
1989,Earthquake,Indonesia,-4.511,139.022,120,indonesia earthquake
1989,Earthquake,Iran (Islamic Republic of),30.960 N,51.421 E,0,iran (islamic republic of) earthquake
1989,Earthquake,Indonesia,1.031,126.189,0,indonesia earthquake
1989,Earthquake,Indonesia,-8.081,125.129,0,indonesia earthquake
1989,Earthquake,Iran (Islamic Republic of),30.167,50.921,100,iran (islamic republic of) earthquake
1989,Earthquake,Mexico,16.773,-99.328,3,mexico earthquake
1989,Earthquake,Malawi,13.45 S,34.29 E,9,malawi earthquake
1990,Earthquake,Indonesia,3.908 N,97.457 E,1,indonesia earthquake
1990,Earthquake,Iran (Islamic Republic of),36.961,49.414,40000,iran (islamic republic of) earthquake
1990,Earthquake,Philippines (the),15.658 N,121.227 E,2412,philippines (the) earthquake
1990,Earthquake,Philippines (the),9.725,124.625,1,philippines (the) earthquake
1990,Earthquake,Peru,-6.016,-77.229,200,peru earthquake
1990,Earthquake,Fiji,22.122 S,175.163 E,0,fiji earthquake
1990,Earthquake,Fiji,21.363 S,176.582 W,0,fiji earthquake
1990,Earthquake,United Kingdom of Great Britain and Northern Ireland (the),52.314 N,2.985 W,0,united kingdom of great britain and northern ireland (the) earthquake
1990,Earthquake,Greece,40.9 N,22.5 E,1,greece earthquake
1990,Earthquake,Greece,38.00 N,23.44 E,0,greece earthquake
1990,Earthquake,Indonesia,1.186,122.857,5,indonesia earthquake
1990,Earthquake,Indonesia,9.904 S,101.120 E,0,indonesia earthquake
1990,Volcanic activity,Indonesia,7.9 S,112.3 E,33,indonesia volcanic activity
1990,Earthquake,Iran (Islamic Republic of),28.251 N,55.462 E,21,iran (islamic republic of) earthquake
1990,Earthquake,Italy,40.38 N,15.48 E,2,italy earthquake
1990,Earthquake,Italy,37.300 N,15.438 E,19,italy earthquake
1990,Earthquake,Kenya,5.289 N,31.859 E,0,kenya earthquake
1990,Earthquake,Nicaragua,11.426 N,86.301 W,0,nicaragua earthquake
1990,Earthquake,Pakistan,35.121 N,70.486 E,11,pakistan earthquake
1990,Earthquake,Pakistan,28.925 N,66.331 E,11,pakistan earthquake
1990,Earthquake,Pakistan,27.429 N,65.79 E,0,pakistan earthquake
1990,Volcanic activity,Peru,15.78 S,71.85 W,0,peru volcanic activity
1990,Earthquake,Philippines (the),11.76,121.899,4,philippines (the) earthquake
1990,Earthquake,Papua New Guinea,3.5 S,144 E,0,papua new guinea earthquake
1990,Earthquake,Romania,45.841,26.668,9,romania earthquake
1991,Volcanic activity,Philippines (the),15.13 N,120.35 E,640,philippines (the) volcanic activity
1991,Earthquake,Panama,9.685 N,83.073 W,30,panama earthquake
1991,Earthquake,Georgia,42.8 N,44 E,8,georgia earthquake
1991,Earthquake,Guatemala,14.646 N,90.986 W,14,guatemala earthquake
1991,Earthquake,India,30.780 N,78.774 E,1500,india earthquake
1991,Earthquake,Peru,15.679 S,71.274 W,11,peru earthquake
1991,Earthquake,Romania,44.888 N,22.407 E,0,romania earthquake
1991,Earthquake,Indonesia,1.196 N,122.787 E,0,indonesia earthquake
1991,Earthquake,Indonesia,8.099 S,125.681 E,28,indonesia earthquake
1991,Volcanic activity,Indonesia,1.36 N,124.79 E,0,indonesia volcanic activity
1991,Earthquake,Iran (Islamic Republic of),30.6 N,50.2 E,0,iran (islamic republic of) earthquake
1991,Earthquake,Iraq,36.12 N,44.01 E,20,iraq earthquake
1991,Volcanic activity,Italy,37.734,15.004,0,italy volcanic activity
1991,Volcanic activity,Japan,32.75 N,130.3 E,43,japan volcanic activity
1991,Earthquake,Myanmar,23.5 N,96.3 E,0,myanmar earthquake
1991,Earthquake,Pakistan,38.993,70.423,300,pakistan earthquake
1991,Earthquake,Panama,9.542 N,82.418 W,0,panama earthquake
1991,Earthquake,Peru,5.982 S S,77.094 W,53,peru earthquake
1991,Volcanic activity,Philippines (the),14 N,121 E,0,philippines (the) volcanic activity
1991,Earthquake,Romania,45.5 N,21.3 E,0,romania earthquake
1992,Earthquake,Georgia,42.503 N,45.073 E,1,georgia earthquake
1992,Earthquake,Iran (Islamic Republic of),31.726 N,50.778 E,5,iran (islamic republic of) earthquake
1992,Earthquake,Kyrgyzstan,42.142 N,73.575 E,54,kyrgyzstan earthquake
1992,Earthquake,Indonesia,8.482 S,121.930 E,2500,indonesia earthquake
1992,Earthquake,Nicaragua,11.742 N,87.340 W,179,nicaragua earthquake
1992,Volcanic activity,Guatemala,14.40 N,90.60 W,0,guatemala volcanic activity
1992,Earthquake,Indonesia,7.138 S,109.067 E,0,indonesia earthquake
1992,Earthquake,Japan,35.106 N,139.644 E,0,japan earthquake
1992,Volcanic activity,Japan,32.75 N,130.3 E,0,japan volcanic activity
1992,Earthquake,Kyrgyzstan,42.01 N,74.01 E,4,kyrgyzstan earthquake
1992,Volcanic activity,Nicaragua,12.5 N,86.7 W,1,nicaragua volcanic activity
1992,Earthquake,Netherlands (the),51.153 N,5.798 E,0,netherlands (the) earthquake
1992,Earthquake,Pakistan,29.3 N,66.7 E,4,pakistan earthquake
1992,Earthquake,Pakistan,33.377 N,71.317 E,36,pakistan earthquake
1992,Volcanic activity,Philippines (the),14 N,121 E,0,philippines (the) volcanic activity
1992,Volcanic activity,Papua New Guinea,-4.08,145.037,0,papua new guinea volcanic activity
1993,Earthquake,Japan,42.851 N,139.197 E,239,japan earthquake
1993,Earthquake,Guam,12.982 N,144.801 E,0,guam earthquake
1993,Earthquake,Japan,43.300 N,143.691 E,2,japan earthquake
1993,Earthquake,Peru,11.652 S,76.530 W,6,peru earthquake
1993,Earthquake,Papua New Guinea,5.889 S,146.202 E,53,papua new guinea earthquake
1993,Earthquake,Greece,37.589 N,21.391 E,1,greece earthquake
1993,Earthquake,Greece,38.224 N,21.756 E,0,greece earthquake
1993,Volcanic activity,Indonesia,6.3 S,106 E,2,indonesia volcanic activity
1993,Earthquake,India,16.40 N,74.20 E,9748,india earthquake
1993,Earthquake,India,18.120 N,76.533 E,0,india earthquake
1993,Earthquake,Iran (Islamic Republic of),30.149 N,50.814 E,24,iran (islamic republic of) earthquake
1993,Earthquake,Iran (Islamic Republic of),32.104 N,60.088 E,0,iran (islamic republic of) earthquake
1993,Volcanic activity,Japan,32.75 N,130.3 E,1,japan volcanic activity
1993,Earthquake,Mexico,16.755 N,98.717 W,0,mexico earthquake
1993,Earthquake,Nepal,28.723 N,82.280 E,0,nepal earthquake
1993,Volcanic activity,Philippines (the),13.3 N,123.7 E,79,philippines (the) volcanic activity
1994,Earthquake,Indonesia,4.967 S,104.302 E,207,indonesia earthquake
1994,Earthquake,Iran (Islamic Republic of),29.096 N,52.617 E,3,iran (islamic republic of) earthquake
1994,Earthquake,Indonesia,1.015 N,127.733 E,7,indonesia earthquake
1994,Volcanic activity,Indonesia,8.1 S,112.9 E,7,indonesia volcanic activity
1994,Earthquake,Iran (Islamic Republic of),30.853 N,60.596 E,9,iran (islamic republic of) earthquake
1988,Earthquake,Solomon Islands,-10.199,160.855,1,solomon islands earthquake
1989,Earthquake,Soviet Union,38.465,68.694,274,soviet union earthquake
1989,Earthquake,United States of America (the),37.036,-121.88,62,united states of america (the) earthquake
1989,Earthquake,United States of America (the),19.362,-155.083,5,united states of america (the) earthquake
1989,Earthquake,Venezuela (Bolivarian Republic of),11.038,-68.27,0,venezuela (bolivarian republic of) earthquake
1990,Earthquake,Sudan (the),5.041 N,32.109 E,0,sudan (the) earthquake
1990,Earthquake,Soviet Union,45.841,26.668,4,soviet union earthquake
1990,Earthquake,Soviet Union,47.892,85.12,1,soviet union earthquake
1990,Earthquake,Soviet Union,47.949,84.958,0,soviet union earthquake
1990,Earthquake,Soviet Union,40.854,73.553,0,soviet union earthquake
1990,Earthquake,Uganda,5.345 N,31.908 E,0,uganda earthquake
1990,Earthquake,United States of America (the),34.140 N,117.70 W,0,united states of america (the) earthquake
1990,Earthquake,United States of America (the),37.885 N,121.983 W,0,united states of america (the) earthquake
1990,Earthquake,Vanuatu,15.465 S,166.385 E,0,vanuatu earthquake
1990,Earthquake,Vanuatu,18.318 S,168.063 E,0,vanuatu earthquake
1990,Earthquake,Vanuatu,15.319 S,167.396 E,0,vanuatu earthquake
1990,Earthquake,South Africa,26.390 S,27.349 E,10,south africa earthquake
1991,Earthquake,Soviet Union,42.15,42.44,270,soviet union earthquake
1991,Earthquake,Soviet Union,35.883,70.423,3,soviet union earthquake
1991,Earthquake,Soviet Union,60.7,167.2,0,soviet union earthquake
1991,Earthquake,Soviet Union,37.457,68.273,1,soviet union earthquake
1991,Earthquake,United States of America (the),34.10 N,118.09 W,2,united states of america (the) earthquake
1991,Earthquake,Yemen,13.887 N,44.068 E,10,yemen earthquake
1992,Earthquake,Turkey,39.710 N,39.605 E,653,turkey earthquake
1992,Earthquake,Uzbekistan,41.019 N,72.429 E,9,uzbekistan earthquake
1992,Earthquake,United States of America (the),40.415 N,124.603 W,0,united states of america (the) earthquake
1992,Earthquake,United States of America (the),34.00 N ,118.15 W,1,united states of america (the) earthquake
1992,Earthquake,United States of America (the),33.961,-116.32,0,united states of america (the) earthquake
1992,Earthquake,Congo (the Democratic Republic of the),6.087 S,26.651 E,9,congo (the democratic republic of the) earthquake
1993,Earthquake,Sudan (the),15.385 N,31.690 E,3,sudan (the) earthquake
1993,Earthquake,United States of America (the),42.314,-122.01,2,united states of america (the) earthquake
1993,Earthquake,Wallis and Futuna,14.385 S,178.252 W,5,wallis and futuna earthquake
1994,Earthquake,United States of America (the),0.34 N,30.12 E,60,united states of america (the) earthquake
1994,Earthquake,Uganda,0.593 N,30.037 E,7,uganda earthquake
1994,Earthquake,Bolivia (Plurinational State of),13.841 S,67.553 W,5,bolivia (plurinational state of) earthquake
1994,Earthquake,Afghanistan,37.0 N,67.0 E,160,afghanistan earthquake
1994,Earthquake,Australia,32.956 S,151.228 E,0,australia earthquake
1994,Earthquake,China,22.52 N,118.7 E,1,china earthquake
1994,Earthquake,China,20.485 N,109.406 E,0,china earthquake
